VisualVHazimuth,VisualVHelevation,VisualRealazimuth,VisualRealelevation,AccousticVHmdnoLSazimuth,AccousticVHmdnoLSelevation,accousticVirtualHmdLaserazimuth,accousticVirtualHmdLaserelevation,accousticVHmdazimuth,accousticVHmdelevation,accousticRealazimuth,accousticRealelevation,accousticBlindHmdazimuth,accousticBlindHmdelevation,accousticBlindazimuth,accousticBlindelevation,VisualVHazTotal,VisualVHelTotal,VisualRealazTotal,VisualRealelTotal,accVirHmdNoLsaztotal,accVirHmdNoLseltotal,accousticVirtualHmdLaserazTotal,accousticVirtualHmdLaserelTotal,accVirHmdazTotal,accVirHmdelTotal,accRealazTotal,accRealelTotal,accBlindHmdazTotal,accBlindHmdelTotal,accBlindazTotal,accBlindelTotal
-46.79765349,3.395331514,-44.52991514,3.7112277,-54.21843901,-2.295495799,-44.98945541,-0.742798258,-46.03233214,-2.881246664,-43.45671759,1.029574297,-51.92918348,8.761173723,-50.45712424,4.660935328,-65.50892924,20.31350856,-63.18226146,33.14274745,-65.24743937,26.27151637,-58.64848709,25.92854309,-69.66800975,21.35159831,-65.75943278,34.70885234,-71.79377269,39.52159266,-70.17108439,33.04486613
-31.16049338,-2.224923709,-30.8446641,6.811893175,-34.08318434,-4.463999108,-30.0178011,-1.650093309,-30.81676378,-3.402958873,-28.48929529,3.743550012,-40.35831366,1.837677334,-34.89409876,2.889268586,-62.41441145,16.13380731,-66.29299727,40.35097803,-64.89325514,19.87806238,-64.17028046,39.7481308,-81.77417555,42.0323707,-63.45609846,30.76446451,-50.6276721,12.00795663,-50.02729597,25.16353143
-15.31148024,-2.325789168,-14.85301543,5.6442543,-18.75372648,-4.751056483,-15.00077467,-1.640410828,-15.68806868,-4.944340898,-15.86094847,1.919570158,-26.68456445,1.013098381,-18.7388587,1.812131355,-66.77874504,29.11983363,-68.71672569,29.28841654,-46.28295646,23.92489115,-59.52072144,28.78938103,-65.62138878,33.10146204,-66.97088371,30.03423182,-56.20828376,21.52616755,-59.36494194,38.12797801
-1.057820095,-0.685919287,0.870941274,3.579513929,1.815416642,-6.493613811,1.662445405,-6.951355025,-0.205822233,-6.006447605,0.084104212,3.527610681,-0.540054453,-2.35405784,2.599004959,2.16213989,-60.51073569,24.96021464,-66.27162284,27.79407694,-56.92727393,35.92659571,-64.14673615,28.88318634,-63.17442435,11.63601687,-65.50315207,24.26973154,-36.23474616,28.08223917,-33.31354636,28.41885188
15.31370687,-2.826182463,15.54392433,4.445200631,18.06092634,-5.098173114,15.19809046,-1.906832574,18.64596429,-9.568329438,16.32466354,0.56895437,21.51284428,-1.528883279,17.61607375,1.557425653,-66.019523,20.91469324,-68.59014068,39.2781843,-59.65969024,35.75568521,-61.75679016,25.36473083,-61.12595687,31.86355341,-64.48719726,32.76400507,-79.60826812,25.82932031,-48.81249938,22.31551492
29.77469492,-1.43172846,31.39828215,2.216370533,33.5824439,-0.487696299,28.85556183,-2.018057379,30.61078501,-7.048668291,29.58600569,3.313330553,36.22758036,0.674467299,36.50421343,6.097637115,-58.93466045,26.62934519,-56.03652431,35.09043528,-74.12040569,42.18269373,-58.22771072,29.65683556,-67.59857036,24.43450953,-58.88229229,26.83010508,-76.04332592,32.974293,-78.61762096,29.04725672
46.11605921,-1.929081633,46.95826197,3.26689882,53.24805384,-3.182268049,45.24021015,-3.344716537,48.46709719,-6.854930117,45.64329881,3.29824476,54.68574533,-2.231517342,49.21533251,2.218565652,-58.21062772,27.4033617,-58.33998029,31.91442432,-61.16239468,21.4326395,-60.12359619,27.50113869,-59.76204221,27.38264789,-62.79494016,27.61288776,-84.53267972,5.062093157,-82.29126279,5.965098757
58.92864809,-4.090773585,62.02534571,5.290448091,70.07102327,-1.731850912,62.25226097,-0.600430468,63.88264934,-4.267880633,62.82577868,4.474019525,72.27736444,0.904441729,63.85591059,0.82374687,-59.37981232,22.00541907,-63.85045441,30.86668234,-68.30777558,29.72799902,-59.06463623,26.88879776,-52.28171356,26.5936225,-61.4894162,28.22411948,-96.94813355,14.73848753,-71.82597931,30.72195273
76.34513788,-3.621296312,77.37258081,3.295664118,80.98643923,-1.468073084,73.25196076,-0.351431124,75.49066515,-2.614770605,80.25524454,1.62683029,85.0194932,-2.479866029,80.93805399,-2.732122179,-63.28583929,20.56095141,-58.38872549,26.33891695,-74.22956106,34.70786303,-58.49084473,26.75791168,-61.71969244,17.38285082,-71.03227255,30.1244623,-107.8183672,37.07793444,-87.51886008,26.21513002
92.63141336,-4.311440471,92.97919931,3.852162645,88.46282587,-3.424443676,83.21011887,0.113765533,86.05775843,-6.771721938,90.65681849,2.175492285,93.00358133,-4.01900214,89.16243677,-3.889313652,-62.99533867,15.69797142,-60.6097834,45.80604943,-63.17111992,20.03166588,-60.54972458,27.95316696,-61.80790733,17.32088479,-59.0900309,38.62930687,-69.55767082,4.899215779,-82.46123527,21.63174065
